Degree0,XCoordinate0,YCoordinate0,Degree1,XCoordinate1,YCoordinate1,Degree0_rad,Degree1_rad,d,cosb,cosb_ref,delta_cos,min,d,cosb,cosb_ref,delta_cos,min
8.66,198.4486859,30.20958536,8.66,313.1291022,47.66723597,0.151145513,0.151145513,,1.765459986,0.988599246,0.77686074,,,1.989125871,0.988599246,1.000526625,
8.78,198.7506465,30.6813815,8.78,311.6840421,48.11504853,0.153239908,0.153239908,,1.757312561,0.988281723,0.769030838,,,1.97994625,0.988281723,0.991664527,
8.89,199.0570777,31.11987292,8.89,311.3664406,48.67791778,0.155159771,0.155159771,,1.755521885,0.987986853,0.767535033,,,1.977928714,0.987986853,0.989941861,
9,199.1803408,31.53080785,9,310.6032412,49.1693662,0.157079633,0.157079633,,1.751218874,0.987688341,0.763530534,,,1.973080555,0.987688341,0.985392214,
9.11,199.4863575,31.97175571,9.11,309.3951223,49.58687598,0.158999495,0.158999495,,1.744407353,0.987386188,0.757021165,,,1.965406083,0.987386188,0.978019895,
9.23,200.1521266,32.50835106,9.23,308.3934512,50.08871375,0.16109389,0.16109389,,1.738759809,0.987052416,0.751707393,,,1.959043053,0.987052416,0.971990637,
9.34,200.0893782,32.89236066,9.34,311.3327191,51.17946876,0.163013752,0.163013752,,1.755331759,0.986742655,0.768589104,,,1.977714501,0.986742655,0.990971846,
9.45,200.3936521,33.33742943,9.45,309.9092392,51.55641052,0.164933614,0.164933614,,1.747306006,0.986429257,0.760876749,,,1.968671967,0.986429257,0.982242709,
9.56,200.6962798,33.78367346,9.56,309.1501919,52.03997374,0.166853476,0.166853476,,1.743026405,0.986112223,0.756914182,,,1.963850183,0.986112223,0.97773796,
9.68,200.6251197,34.20372335,9.68,305.9632126,52.16236679,0.168947872,0.168947872,,1.725057828,0.985762223,0.739295605,,,1.94360517,0.985762223,0.957842947,
9.79,200.9267756,34.65204422,9.79,304.9894521,52.59880345,0.170867734,0.170867734,,1.719567648,0.985437591,0.734130057,,,1.937419439,0.985437591,0.951981849,
9.9,200.8599123,35.03753634,9.9,304.4547584,53.10838055,0.172787596,0.172787596,,1.71655298,0.985109326,0.731443654,,,1.934022843,0.985109326,0.948913517,
10.01,201.1606578,35.48788185,10.01,301.2867376,53.15168615,0.174707458,0.174707458,,1.698691293,0.984777431,0.713913862,,,1.913898262,0.984777431,0.929120831,
10.13,201.269381,35.94166001,10.13,297.9120686,53.19961847,0.176801853,0.176801853,,1.679664499,0.984411223,0.695253275,,,1.892460965,0.984411223,0.908049742,
10.24,201.2000425,36.32780718,10.24,295.8633545,53.41980429,0.178721715,0.178721715,,1.668113599,0.98407174,0.684041859,,,1.879446684,0.98407174,0.895374944,
10.35,201.1299631,36.71382059,10.35,293.5934404,53.59190014,0.180641578,0.180641578,,1.655315547,0.983728629,0.671586918,,,1.865027249,0.983728629,0.88129862,
10.46,201.0591431,37.09969881,10.46,289.8384759,53.48137864,0.18256144,0.18256144,,1.6341446,0.983381892,0.650762708,,,1.841174157,0.983381892,0.857792265,
10.58,200.9810406,37.52050102,10.58,288.6489188,53.88693393,0.184655835,0.184655835,,1.627437733,0.9829995,0.644438232,,,1.833617597,0.9829995,0.850618097,
10.69,200.9086729,37.90609199,10.69,285.5672665,53.87890387,0.186575697,0.186575697,,1.610063002,0.982645187,0.627417815,,,1.814041664,0.982645187,0.831396478,
10.8,200.8355655,38.29154339,10.8,282.6858509,53.89721435,0.188495559,0.188495559,,1.59381723,0.982287251,0.611529979,,,1.795737718,0.982287251,0.813450467,
10.91,200.5779282,38.64144647,10.91,277.5582328,53.47174384,0.190415421,0.190415421,,1.564907095,0.981925694,0.582981401,,,1.763164962,0.981925694,0.781239268,
11.03,200.4965994,39.06123796,11.03,270.4873837,52.69701379,0.192509816,0.192509816,,1.525040788,0.981527142,0.543513646,,,1.718247997,0.981527142,0.736720856,
11.14,200.4212761,39.44589651,11.14,267.2741435,52.60353796,0.194429679,0.194429679,,1.506924148,0.981158019,0.525766129,,,1.697836163,0.981158019,0.716678144,
11.25,200.1622704,39.79403882,11.25,265.1414613,52.71247965,0.196349541,0.196349541,,1.494899826,0.98078528,0.514114546,,,1.684288482,0.98078528,0.703503201,
11.36,200.0855416,40.17805447,11.36,264.2436383,53.06128175,0.198269403,0.198269403,,1.489837791,0.980408927,0.509428865,,,1.678585138,0.980408927,0.698176211,
11.48,200.0009972,40.59681187,11.48,258.2846625,52.42740788,0.200363798,0.200363798,,1.45624036,0.979994237,0.476246123,,,1.640731253,0.979994237,0.660737016,
11.59,199.7406363,40.94319105,11.59,250.2296495,51.29251884,0.20228366,0.20228366,,1.410825217,0.979610329,0.431214887,,,1.589562471,0.979610329,0.609952142,
11.7,199.6617031,41.32639552,11.7,246.5490089,51.03122781,0.204203522,0.204203522,,1.390073317,0.979222811,0.410850507,,,1.566181516,0.979222811,0.586958705,
11.81,199.5820348,41.70944783,11.81,245.6718392,51.34147855,0.206123385,0.206123385,,1.385127728,0.978831683,0.406296045,,,1.560609371,0.978831683,0.581777688,
11.93,199.4942858,42.12714786,11.93,238.5494063,50.37440581,0.20821778,0.20821778,,1.344970584,0.978400883,0.366569701,,,1.515364724,0.978400883,0.536963841,
