Degree,XCoordinate,YCoordinate
31.5,48.17044484,29.5004222
31.68,48.0775762,29.65153172
31.86,47.614354,29.57262179
32.04,47.15429636,29.492468
32.22,46.7383222,29.43686869
32.4,46.64566017,29.58348166
32.58,46.55253824,29.72980296
32.76,46.45895731,29.87583112
32.94,46.36491832,30.02156473
33.12,45.95338485,29.96030298
33.3,45.85908311,30.10444867
33.48,45.76432922,30.24829755
33.66,45.35695272,30.18410464
33.84,45.26195119,30.32637644
34.02,45.16650339,30.46834923
34.2,45.07061027,30.61002162
34.38,44.97427277,30.7513922
34.56,44.57155422,30.68186035
34.74,44.47499361,30.82166354
34.92,44.37799449,30.96116285
35.1,44.28055783,31.10035689
35.28,44.18268457,31.23924429
35.46,44.08437569,31.37782369
35.64,43.98563216,31.51609372
35.82,43.88645495,31.65405301
36,43.48923559,31.57561909
36.18,43.38987392,31.7120194
36.36,43.29008444,31.84810705
36.54,43.18986814,31.98388069
36.72,43.089226,32.11933897
36.9,42.69694676,32.03598087
37.08,42.59614346,32.16989114
37.26,42.49492018,32.30348422
37.44,42.10714459,32.21782697
37.62,42.0057732,32.34988436
37.8,41.90398765,32.48162279
37.98,41.80178894,32.61304097
38.16,41.69917809,32.7441376
38.34,41.31652738,32.65391093
38.52,41.21379058,32.78348363
38.7,41.11064744,32.91273311
38.88,41.00709896,33.04165807
39.06,40.90314617,33.17025727
39.24,40.52572086,33.07565997
39.42,40.42166367,33.20274746
39.6,40.31720795,33.3295076
39.78,36.12495529,30.05529801
39.96,36.03040372,30.16858202
40.14,35.63865054,30.03142667
40.32,35.54417632,30.1431838
40.5,35.44935165,30.25464373
40.68,35.35417747,30.36580536
40.86,35.25865471,30.4766676
41.04,35.16278431,30.58722935
41.22,35.06656722,30.69748952
41.4,34.68169262,30.55345365
41.58,34.58558396,30.66220337
41.76,34.4891343,30.77065076
41.94,34.39234459,30.87879477
42.12,34.29521579,30.98663433
42.3,34.19774885,31.09416838
42.48,34.09994473,31.20139584
42.66,33.05761089,30.43891745
42.84,32.65300356,30.25637165
43.02,32.55783773,30.35875275
43.2,32.17440039,30.19063805
43.38,32.07944333,30.29151667
43.56,31.98416998,30.39209663
43.74,31.88858128,30.49237693
43.92,31.48908936,30.30022967
44.1,31.11030173,30.12444953
44.28,31.01555774,30.22198721
44.46,30.92050796,30.31922692
44.64,30.82515331,30.41616768
44.82,30.72949474,30.51280856
45,30.33532961,30.31118239
45.18,30.2400031,30.40628574
45.36,30.14437845,30.50108929
45.54,30.04845658,30.59559212
45.72,29.95223844,30.68979329
45.9,29.85572499,30.78369187
46.08,29.46892309,30.57639458
46.26,29.37276809,30.66877611
46.44,29.27632349,30.76085526
46.62,29.17959024,30.85263112
46.8,29.08256928,30.94410278
46.98,28.98526159,31.03526935
47.16,28.88766811,31.12612993
47.34,28.78978982,31.21668361
47.52,28.41183264,31.00163059
47.7,28.31434762,31.09069077
47.88,28.21658343,31.1794444
48.06,28.11854103,31.26789062
48.24,28.0202214,31.35602855
48.42,27.92162549,31.44385732
48.6,27.8227543,31.53137607
48.78,27.72360878,31.61858393
48.96,27.3547047,31.39618019
49.14,27.25598601,31.48191904
49.32,27.15699858,31.5673475
49.5,27.05774339,31.65246472
49.68,26.95822143,31.73726985
49.86,26.85843366,31.82176207
50.04,26.75838109,31.90594054
50.22,26.39800491,31.67773145
50.4,26.29840686,31.76046489
50.58,26.19854952,31.84288518
50.76,26.09843387,31.92499151
50.94,25.9980609,32.00678307
51.12,25.8974316,32.08825906
51.3,24.52360869,30.58200915
51.48,24.42746044,30.65886239
