Degree,XCoordinate,YCoordinate
88.88,3.10505079,152.6805772
88.99,2.805468687,152.3279226
89.1,2.5072556,151.9749332
89.21,2.207774115,151.4407224
89.33,1.884058475,150.9087483
89.44,1.590693363,150.5538764
89.55,1.298708922,150.1998003
89.66,1.005678754,149.4868621
89.78,0.691926394,149.3107093
89.89,0.404446655,148.9552609
90,0.118192161,148.4216495
90.11,-0.16601459,147.8889418
90.23,-0.473875679,147.353686
90.34,-0.755720528,147.1753904
90.45,-1.033135862,146.4653519
90.56,-1.311005457,146.1087994
90.68,-1.612939175,145.7517242
90.79,-1.885708479,145.2163126
90.9,-2.159101779,144.8597193
91.01,-2.431157832,144.5040581
91.13,-2.717030239,143.6202786
91.24,-2.966993167,142.3851477
91.35,-3.216290379,141.3281836
91.46,-3.47894486,140.9759918
91.58,-3.759833878,140.4375199
91.69,-4.004275449,139.5575118
91.8,-4.234806914,138.3325694
91.91,-4.460853886,137.1134595
92.03,-4.73603833,136.7622144
92.14,-4.916262808,134.5040161
92.25,-5.13492738,133.469594
92.36,-5.363259784,132.7719929
92.48,-5.626895483,132.4242099
92.59,-5.828113715,131.2225835
92.7,-6.024591824,130.0174512
92.81,-6.249733513,129.5013803
92.93,-6.495253346,128.9805348
93.04,-6.707475495,128.2933219
93.15,-6.908167204,127.4412697
93.26,-7.14328946,127.2601276
93.38,-7.390186133,126.9102773
93.49,-7.623654883,126.7288965
93.6,-7.846049122,126.3794795
93.71,-8.067242298,126.0314231
93.83,-8.331050209,126.0142595
93.94,-8.561591661,125.8326898
94.05,-8.756425665,125.1498769
94.16,-8.996558105,125.1328438
94.28,-9.246268818,124.9486822
94.39,-9.435623282,124.2670606
94.5,-9.674060445,124.2487259
94.61,-9.872973029,123.7350304
94.73,-10.10497289,123.3844514
94.84,-10.32792905,123.200381
94.95,-10.53605774,122.8508234
95.06,-10.7574183,122.6666674
95.18,-10.99945747,122.4799791
95.29,-11.18936434,121.9670644
95.4,-11.40808114,121.7820007
95.51,-11.59502886,121.2712743
95.63,-11.81688618,120.9195099
95.74,-12.00029816,120.4089954
95.85,-12.19828685,120.0605478
95.96,-12.4286471,120.0369196
96.08,-12.61150986,119.36338
96.19,-12.82321398,119.1780119
96.3,-13.0518796,119.1531862
96.41,-13.22670052,118.6453584
96.53,-13.42016336,118.1343834
96.64,-13.64682527,118.1084142
96.75,-13.81697115,117.6014086
96.86,-14.02348384,117.4145444
96.98,-14.23058008,117.0668922
97.09,-14.39608497,116.560797
97.2,-14.53983912,115.8961881
97.31,-14.72193455,115.5519997
97.43,-14.94328336,115.3626093
97.54,-15.10239264,114.8604272
97.65,-15.30172833,114.6735531
97.76,-15.47916474,114.3294747
97.88,-15.69689455,114.1400054
