Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,,,,
37.8,104.5084818,81.00911815,,37.8,57.82965401,44.82630683,,46.67882779,36.18281132,,59.06021333,0.911396326,,,
37.98,104.2535984,81.33687488,,37.98,57.68861455,45.00767066,,46.56498385,36.32920422,,59.06021334,0.908256326,,,
38.16,103.9976871,81.66382967,,38.16,57.88461211,45.45369455,,46.11307499,36.21013512,,58.63096085,0.905116327,,,
38.34,103.7407504,81.98997928,,38.34,57.74160238,45.63522785,,45.99914802,36.35475143,,58.63096085,0.901976327,,,
38.52,103.4827909,82.31532051,,38.52,57.59802335,45.81631121,,45.88476755,36.4990093,,58.63096087,0.898836327,,,
38.7,103.2238111,82.63985014,,38.7,57.45387642,45.99694285,,45.76993468,36.64290729,,58.63096089,0.895696327,,,
38.88,102.9638135,82.96356498,,38.88,57.30916302,46.17712097,,45.65465048,36.78644401,,58.63096088,0.892556327,,,
39.06,102.7028007,83.28646183,,39.06,57.16388458,46.3568438,,45.53891612,36.92961803,,58.63096084,0.889416327,,,
39.24,102.4407754,83.60853751,,39.24,57.01804252,46.53610957,,45.42273288,37.07242794,,58.6309609,0.886276327,,,
39.42,102.17774,83.92978884,,39.42,56.87163829,46.71491652,,45.30610171,37.21487232,,58.63096088,0.883136327,,,
39.6,101.9136971,84.25021266,,39.6,56.72467333,46.89326287,,45.18902377,37.35694979,,58.63096082,0.879996326,,,
39.78,101.6486495,84.56980581,,39.78,56.57714908,47.07114688,,45.07150042,37.49865893,,58.63096086,0.876856327,,,
39.96,116.7539498,97.75913529,,39.96,56.09995051,46.97299457,,60.65399929,50.78614072,,79.10840486,0.873716327,,,
