Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
20.16,121.8795942,44.72170824,,20.16,55.19499094,20.25289219,,66.68460326,24.46881605,,71.03210028,1.219116327
20.34,121.7385674,45.10418907,,20.34,55.13112486,20.42610433,,66.60744254,24.67808474,,71.03210027,1.215976327
20.52,121.5963403,45.48622519,,20.52,55.06671521,20.59911509,,66.52962509,24.8871101,,71.03210023,1.212836327
20.7,121.4529144,45.86781283,,20.7,55.00176263,20.77192274,,66.45115177,25.09589009,,71.03210029,1.209696327
20.88,121.308291,46.24894824,,20.88,54.93626775,20.94452559,,66.37202325,25.30442265,,71.03210032,1.206556327
21.06,121.1624715,46.62962765,,21.06,55.64782593,21.41618086,,65.51464557,25.21344679,,70.19890799,1.203416327
21.24,121.0154574,47.00984731,,21.24,55.5803049,21.59080917,,65.4351525,25.41903814,,70.19890799,1.200276327
21.42,120.8672501,47.38960347,,21.42,55.51223587,21.7652246,,65.35501423,25.62437887,,70.19890795,1.197136327
21.6,120.7178511,47.76889239,,21.6,55.44361951,21.93942544,,65.27423159,25.82946695,,70.19890792,1.193996327
21.78,120.567262,48.14771033,,21.78,55.3744565,22.11340996,,65.1928055,26.03430037,,70.198908,1.190856327
21.96,120.415484,48.52605356,,21.96,55.67425097,22.43608209,,64.74123303,26.08997147,,69.80052912,1.187716327
22.14,121.0164935,49.21051688,,22.14,55.60352732,22.61078834,,65.41296618,26.59972854,,70.61445817,1.184576327
22.32,120.8613761,49.59026545,,22.32,55.53225545,22.78527166,,65.32912065,26.80499379,,70.61445813,1.181436327
22.5,120.7050671,49.96952508,,22.5,55.46043605,22.95953033,,65.24463105,27.00999475,,70.61445813,1.178296327
22.68,120.547568,50.34829203,,22.68,55.77360926,23.29458829,,64.77395874,27.05370374,,70.19664249,1.175156327
22.86,120.3888804,50.72656256,,22.86,55.70018942,23.4696023,,64.68869098,27.25696026,,70.19664254,1.172016327
23.04,120.6053066,51.26428275,,23.04,55.6262204,23.6443849,,64.9790862,27.61989785,,70.6055267,1.168876327
23.22,120.4437425,51.64273007,,23.22,55.55170293,23.81893439,,64.89203957,27.82379568,,70.60552674,1.165736327
23.4,121.7844165,52.67088909,,23.4,55.84240787,24.15144199,,65.94200863,28.5194471,,71.84502324,1.162596327
23.58,121.6184298,53.05303187,,23.58,55.40102557,24.1673271,,66.21740423,28.88570477,,72.24353648,1.159456327
23.76,121.451244,53.43465157,,23.76,55.32486717,24.34116689,,66.12637683,29.09348468,,72.24353648,1.156316327
23.94,121.2828608,53.81574443,,23.94,55.63245492,24.68528494,,65.65040588,29.13045949,,71.82311231,1.153176327
24.12,121.1132817,54.19630668,,24.12,55.554669,24.85984886,,65.5586127,29.33645782,,71.82311227,1.150036327
24.3,120.9425085,54.57633459,,24.3,55.47633533,25.03416768,,65.46617317,29.54216691,,71.82311226,1.146896327
24.48,121.8892182,55.46487008,,24.48,55.75769038,25.37216251,,66.13152782,30.09270757,,72.65638321,1.143756327
24.66,121.7144579,55.84732817,,24.66,55.67774704,25.54711629,,66.03671086,30.30021188,,72.65638321,1.140616327
24.84,121.9050453,56.39881728,,24.84,55.59725475,25.72181819,,66.30779055,30.67699909,,73.06025842,1.137476327
25.02,121.7273524,56.78132046,,25.02,55.15753871,25.72895755,,66.56981369,31.05236291,,73.45603676,1.134336327
25.2,121.5484592,57.16326379,,25.2,55.076478,25.9020251,,66.4719812,31.26123869,,73.45603671,1.131196327
25.38,121.74115,57.72139164,,25.38,54.99487426,26.07483726,,66.74627574,31.64655438,,73.86859772,1.128056326
25.56,121.559305,58.10337366,,25.56,55.6489883,26.59931266,,65.9103167,31.504061,,73.05255442,1.124916327
25.74,121.3762615,58.48478282,,25.74,55.56519226,26.77391907,,65.81106924,31.71086375,,73.05255447,1.121776327
25.92,121.5553331,59.04208387,,25.92,55.48084837,26.9482615,,66.07448473,32.09382237,,73.45645626,1.118636327
26.1,121.7398518,59.60488073,,26.1,55.39595746,27.12233823,,66.34389434,32.4825425,,73.86899135,1.115496327
26.28,121.5520927,59.9868494,,26.28,55.31052036,27.29614754,,66.24157234,32.69070186,,73.86899143,1.112356327
26.46,121.363135,60.36822662,,26.46,55.22453793,27.46968772,,66.13859707,32.8985389,,73.86899136,1.109216326
26.64,121.1729808,60.74900864,,26.64,55.13801101,27.64295707,,66.03496979,33.10605157,,73.86899137,1.106076327
26.82,121.342152,61.31135409,,26.82,55.05094045,27.81595386,,66.29121155,33.49540023,,74.27291946,1.102936327
27,121.1490365,61.69206557,,27,55.34008029,28.18052838,,65.80895621,33.51153719,,73.85013096,1.099796327
27.18,121.3217304,62.26050973,,27.18,55.25132076,28.35415703,,66.07040964,33.9063527,,74.26264056,1.096656327
27.36,121.1256346,62.6411524,,27.36,55.16201648,28.52750611,,65.96361812,34.11364629,,74.26264053,1.093516327
27.54,120.9283446,63.02117746,,27.54,55.07216832,28.70057392,,65.85617628,34.32060354,,74.26264055,1.090376327
27.72,120.7298623,63.40058116,,27.72,54.98177717,28.87335876,,65.74808513,34.5272224,,74.26264057,1.087236327
27.9,120.8958535,63.97285324,,27.9,54.89084392,29.04585891,,66.00500958,34.92699433,,74.67634313,1.084096327
28.08,120.694383,64.35215022,,28.08,54.79936948,29.21807269,,65.89501352,35.13407753,,74.67634305,1.080956327
28.26,120.4917226,64.73081272,,28.26,54.70735473,29.38999839,,65.78436787,35.34081433,,74.67634307,1.077816327
28.44,120.2878742,65.108837,,28.44,54.61480059,29.56163431,,65.67307361,35.54720269,,74.67634308,1.074676327
28.62,120.0828398,65.48621933,,28.62,54.89506023,29.93658345,,65.18777957,35.54963588,,74.25108226,1.071536327
28.8,119.8766214,65.86295599,,28.8,54.80078889,30.10880608,,65.07583251,35.75414991,,74.25108223,1.068396327
